GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),TIMEPERIOD (CODE),TIMEPERIOD (DISPLAY),TIMEPERIOD (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1981,1981,,EMR,Eastern Mediterranean,,DJI,1981,1981,Djibouti,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,20.3 [15.9-25.2],20.30000,15.90000,25.20000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1982,1982,,EMR,Eastern Mediterranean,,DJI,1982,1982,Djibouti,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,20.7 [16.4-25.6],20.70000,16.40000,25.60000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1996,1996,,EMR,Eastern Mediterranean,,DJI,1996,1996,Djibouti,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,26.7 [22.5-31.1],26.70000,22.50000,31.10000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1997,1997,,EMR,Eastern Mediterranean,,DJI,1997,1997,Djibouti,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,27.1 [22.9-31.5],27.10000,22.90000,31.50000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1998,1998,,EMR,Eastern Mediterranean,,DJI,1998,1998,Djibouti,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,27.5 [23.3-31.9],27.50000,23.30000,31.90000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1999,1999,,EMR,Eastern Mediterranean,,DJI,1999,1999,Djibouti,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,27.9 [23.7-32.2],27.90000,23.70000,32.20000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2013,2013,,EMR,Eastern Mediterranean,,DJI,2013,2013,Djibouti,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,33.8 [28.9-38.8],33.80000,28.90000,38.80000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2014,2014,,EMR,Eastern Mediterranean,,DJI,2014,2014,Djibouti,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,34.4 [29.3-39.6],34.40000,29.30000,39.60000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,DJI,2015,2015,Djibouti,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,35.0 [29.6-40.4],35.00000,29.60000,40.40000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2016,2016,,EMR,Eastern Mediterranean,,DJI,2016,2016,Djibouti,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,35.7 [30.0-41.3],35.70000,30.00000,41.30000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1979,1979,,EMR,Eastern Mediterranean,,DJI,1979,1979,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,24.6 [17.8-32.4],24.60000,17.80000,32.40000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1980,1980,,EMR,Eastern Mediterranean,,DJI,1980,1980,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,25.2 [18.4-32.8],25.20000,18.40000,32.80000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1981,1981,,EMR,Eastern Mediterranean,,DJI,1981,1981,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,25.7 [19.0-33.1],25.70000,19.00000,33.10000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1982,1982,,EMR,Eastern Mediterranean,,DJI,1982,1982,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,26.2 [19.5-33.4],26.20000,19.50000,33.40000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1996,1996,,EMR,Eastern Mediterranean,,DJI,1996,1996,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,32.0 [26.0-38.5],32.00000,26.00000,38.50000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1997,1997,,EMR,Eastern Mediterranean,,DJI,1997,1997,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,32.4 [26.4-38.9],32.40000,26.40000,38.90000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1998,1998,,EMR,Eastern Mediterranean,,DJI,1998,1998,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,32.8 [26.7-39.2],32.80000,26.70000,39.20000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1999,1999,,EMR,Eastern Mediterranean,,DJI,1999,1999,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,33.1 [27.1-39.5],33.10000,27.10000,39.50000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2013,2013,,EMR,Eastern Mediterranean,,DJI,2013,2013,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,39.3 [32.4-46.3],39.30000,32.40000,46.30000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2014,2014,,EMR,Eastern Mediterranean,,DJI,2014,2014,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,39.9 [32.8-47.2],39.90000,32.80000,47.20000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,DJI,2015,2015,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,40.6 [33.3-48.1],40.60000,33.30000,48.10000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2016,2016,,EMR,Eastern Mediterranean,,DJI,2016,2016,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,41.2 [33.7-49.2],41.20000,33.70000,49.20000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1979,1979,,EMR,Eastern Mediterranean,,DJI,1979,1979,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,14.0 [8.6-20.9],14.00000,8.60000,20.90000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1980,1980,,EMR,Eastern Mediterranean,,DJI,1980,1980,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,14.4 [9.0-21.2],14.40000,9.00000,21.20000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1981,1981,,EMR,Eastern Mediterranean,,DJI,1981,1981,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,14.8 [9.5-21.5],14.80000,9.50000,21.50000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1982,1982,,EMR,Eastern Mediterranean,,DJI,1982,1982,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,15.2 [9.9-21.8],15.20000,9.90000,21.80000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1996,1996,,EMR,Eastern Mediterranean,,DJI,1996,1996,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,21.4 [15.6-27.8],21.40000,15.60000,27.80000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1997,1997,,EMR,Eastern Mediterranean,,DJI,1997,1997,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,21.8 [15.9-28.3],21.80000,15.90000,28.30000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1998,1998,,EMR,Eastern Mediterranean,,DJI,1998,1998,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,22.2 [16.3-28.6],22.20000,16.30000,28.60000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1999,1999,,EMR,Eastern Mediterranean,,DJI,1999,1999,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,22.6 [16.7-29.0],22.60000,16.70000,29.00000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2013,2013,,EMR,Eastern Mediterranean,,DJI,2013,2013,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,28.3 [21.3-35.7],28.30000,21.30000,35.70000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2014,2014,,EMR,Eastern Mediterranean,,DJI,2014,2014,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,28.9 [21.5-36.6],28.90000,21.50000,36.60000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,DJI,2015,2015,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,29.5 [21.8-37.6],29.50000,21.80000,37.60000,,,
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2016,2016,,EMR,Eastern Mediterranean,,DJI,2016,2016,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,30.1 [22.1-38.6],30.10000,22.10000,38.60000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1980,1980,,EMR,Eastern Mediterranean,,DJI,1980,1980,Djibouti,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,21.2 [18.5-23.8],21.20000,18.50000,23.80000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1982,1982,,EMR,Eastern Mediterranean,,DJI,1982,1982,Djibouti,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,21.3 [18.8-23.8],21.30000,18.80000,23.80000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1989,1989,,EMR,Eastern Mediterranean,,DJI,1989,1989,Djibouti,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,21.9 [19.6-24.1],21.90000,19.60000,24.10000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1991,1991,,EMR,Eastern Mediterranean,,DJI,1991,1991,Djibouti,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,22.0 [19.8-24.2],22.00000,19.80000,24.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1996,1996,,EMR,Eastern Mediterranean,,DJI,1996,1996,Djibouti,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,22.3 [20.1-24.5],22.30000,20.10000,24.50000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1998,1998,,EMR,Eastern Mediterranean,,DJI,1998,1998,Djibouti,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,22.4 [20.2-24.6],22.40000,20.20000,24.60000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2005,2005,,EMR,Eastern Mediterranean,,DJI,2005,2005,Djibouti,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,23.0 [20.7-25.3],23.00000,20.70000,25.30000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2007,2007,,EMR,Eastern Mediterranean,,DJI,2007,2007,Djibouti,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,23.2 [20.8-25.5],23.20000,20.80000,25.50000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1982,1982,,EMR,Eastern Mediterranean,,DJI,1982,1982,Djibouti,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,22.0 [18.6-25.2],22.00000,18.60000,25.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1984,1984,,EMR,Eastern Mediterranean,,DJI,1984,1984,Djibouti,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,22.2 [18.9-25.3],22.20000,18.90000,25.30000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1991,1991,,EMR,Eastern Mediterranean,,DJI,1991,1991,Djibouti,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,22.7 [19.7-25.7],22.70000,19.70000,25.70000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1993,1993,,EMR,Eastern Mediterranean,,DJI,1993,1993,Djibouti,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,22.9 [19.9-25.8],22.90000,19.90000,25.80000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1998,1998,,EMR,Eastern Mediterranean,,DJI,1998,1998,Djibouti,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,23.2 [20.2-26.1],23.20000,20.20000,26.10000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,DJI,2000,2000,Djibouti,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,23.3 [20.4-26.3],23.30000,20.40000,26.30000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2007,2007,,EMR,Eastern Mediterranean,,DJI,2007,2007,Djibouti,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,24.0 [20.8-27.2],24.00000,20.80000,27.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2009,2009,,EMR,Eastern Mediterranean,,DJI,2009,2009,Djibouti,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,24.2 [20.9-27.5],24.20000,20.90000,27.50000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1983,1983,,EMR,Eastern Mediterranean,,DJI,1983,1983,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.0 [4.1-5.8],5.00000,4.10000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1985,1985,,EMR,Eastern Mediterranean,,DJI,1985,1985,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.0 [4.3-5.8],5.00000,4.30000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1992,1992,,EMR,Eastern Mediterranean,,DJI,1992,1992,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.2 [4.5-5.8],5.20000,4.50000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1994,1994,,EMR,Eastern Mediterranean,,DJI,1994,1994,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.2 [4.5-5.9],5.20000,4.50000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2001,2001,,EMR,Eastern Mediterranean,,DJI,2001,2001,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.2 [4.6-5.9],5.20000,4.60000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2003,2003,,EMR,Eastern Mediterranean,,DJI,2003,2003,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.3 [4.6-5.9],5.30000,4.60000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2008,2008,,EMR,Eastern Mediterranean,,DJI,2008,2008,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.3 [4.4-6.1],5.30000,4.40000,6.10000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1981,1981,,EMR,Eastern Mediterranean,,DJI,1981,1981,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.1 [4.2-6.1],5.10000,4.20000,6.10000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1983,1983,,EMR,Eastern Mediterranean,,DJI,1983,1983,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.2 [4.3-6.0],5.20000,4.30000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1985,1985,,EMR,Eastern Mediterranean,,DJI,1985,1985,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.2 [4.4-5.9],5.20000,4.40000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1990,1990,,EMR,Eastern Mediterranean,,DJI,1990,1990,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.3 [4.6-5.9],5.30000,4.60000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1992,1992,,EMR,Eastern Mediterranean,,DJI,1992,1992,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.3 [4.6-5.9],5.30000,4.60000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1999,1999,,EMR,Eastern Mediterranean,,DJI,1999,1999,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.3 [4.7-5.9],5.30000,4.70000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2001,2001,,EMR,Eastern Mediterranean,,DJI,2001,2001,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.3 [4.7-6.0],5.30000,4.70000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2006,2006,,EMR,Eastern Mediterranean,,DJI,2006,2006,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.4 [4.6-6.2],5.40000,4.60000,6.20000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2008,2008,,EMR,Eastern Mediterranean,,DJI,2008,2008,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.4 [4.5-6.2],5.40000,4.50000,6.20000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1980,1980,,EMR,Eastern Mediterranean,,DJI,1980,1980,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,131.3 [121.3-141.0],131.30000,121.30000,141.00000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1982,1982,,EMR,Eastern Mediterranean,,DJI,1982,1982,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,130.9 [122.0-139.5],130.90000,122.00000,139.50000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1987,1987,,EMR,Eastern Mediterranean,,DJI,1987,1987,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,130.0 [122.5-137.7],130.00000,122.50000,137.70000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1989,1989,,EMR,Eastern Mediterranean,,DJI,1989,1989,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,129.7 [122.2-137.2],129.70000,122.20000,137.20000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1996,1996,,EMR,Eastern Mediterranean,,DJI,1996,1996,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,128.9 [121.2-136.4],128.90000,121.20000,136.40000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1998,1998,,EMR,Eastern Mediterranean,,DJI,1998,1998,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,128.8 [121.2-136.3],128.80000,121.20000,136.30000,,,
